subNum	 version	 completed	 trialNo	 easySide	 targPresent	key	 targSide	 RT	 accuracy	 var	 con
6	 T	2	178	 x	0	 r	 x	1.563	1	6	 full
6	 T	2	179	 x	1	 l	 left	1.593	1	6	 full
6	 T	2	180	 x	0	 r	 x	1.618	1	1.7	 full
6	 T	2	181	 x	0	 r	 x	1.718	1	1.7	 full
6	 T	2	182	 R	1	 l	 left	1.617	1	 x	 half
6	 T	2	183	 x	0	 r	 x	1.468	1	6	 full
6	 T	2	184	 x	1	 l	 right	1.559	1	6	 full
6	 T	2	185	 L	1	 l	 right	1.589	1	 x	 half
6	 T	2	186	 x	0	 r	 x	1.639	1	6	 full
6	 T	2	187	 x	0	 r	 x	1.766	1	1.7	 full
6	 T	2	188	 x	0	 r	 x	1.537	1	1.7	 full
6	 T	2	189	 R	0	 r	 x	1.819	1	 x	 half
6	 T	2	190	 R	1	 l	 right	1.509	1	 x	 half
6	 T	2	191	 R	0	 r	 x	1.69	1	 x	 half
6	 T	2	192	 x	1	 l	 left	1.51	1	6	 full
6	 T	2	193	 x	1	 l	 left	1.599	1	6	 full
6	 T	2	194	 R	1	 l	 right	1.508	1	 x	 half
6	 T	2	195	 x	0	 r	 x	1.508	1	6	 full
6	 T	2	196	 x	1	 l	 right	1.709	1	1.7	 full
6	 T	2	197	 x	1	 r	 right	1.469	0	6	 full
6	 T	2	198	 R	0	 r	 x	1.659	1	 x	 half
6	 T	2	199	 x	1	 l	 left	1.658	1	1.7	 full
6	 T	2	200	 x	1	 l	 right	3.038	1	1.7	 full
6	 T	2	201	 R	1	 x	 right	1.616	1	 x	 half
6	 T	2	202	 x	1	 r	 right	1.665	0	6	 full
6	 T	2	203	 x	1	 l	 right	1.588	1	6	 full
6	 T	2	204	 x	0	 r	 x	1.72	1	1.7	 full
6	 T	2	205	 x	0	 r	 x	1.808	1	1.7	 full
6	 T	2	206	 x	1	 l	 left	1.549	1	6	 full
6	 T	2	207	 x	1	 l	 left	1.579	1	1.7	 full
6	 T	2	208	 x	0	 r	 x	1.499	1	1.7	 full
6	 T	2	209	 L	1	 r	 right	1.47	0	 x	 half
6	 T	2	210	 L	1	 l	 right	1.567	1	 x	 half
6	 T	2	211	 x	0	 r	 x	1.639	1	6	 full
6	 T	2	212	 x	1	 l	 left	1.594	1	1.7	 full
6	 T	2	213	 x	0	 r	 x	1.618	1	6	 full
6	 T	2	214	 x	0	 r	 x	1.749	1	1.7	 full
6	 T	2	215	 x	0	 r	 x	1.54	1	6	 full
6	 T	2	216	 x	0	 r	 x	1.488	1	6	 full
6	 T	2	217	 L	1	 l	 left	1.479	1	 x	 half
6	 T	2	218	 x	0	 r	 x	1.569	1	6	 full
6	 T	2	219	 x	1	 l	 left	1.518	1	6	 full
6	 T	2	220	 x	0	 r	 x	1.619	1	1.7	 full
6	 T	2	221	 x	1	 l	 left	1.524	1	6	 full
6	 T	2	222	 x	1	 l	 right	1.808	1	1.7	 full
6	 T	2	223	 R	1	 l	 right	1.608	1	 x	 half
6	 T	2	224	 L	0	 l	 x	1.681	0	 x	 half
6	 T	2	225	 R	1	 l	 left	1.769	1	 x	 half
6	 T	2	226	 x	1	 l	 right	1.7	1	1.7	 full
6	 T	2	227	 R	1	 l	 right	1.5	1	 x	 half
6	 T	2	228	 x	1	 l	 left	1.529	1	1.7	 full
6	 T	2	229	 x	0	 r	 x	1.509	1	6	 full
6	 T	2	230	 x	0	 r	 x	1.668	1	1.7	 full
6	 T	2	231	 x	0	 r	 x	1.53	1	1.7	 full
6	 T	2	232	 x	0	 r	 x	1.519	1	6	 full
6	 T	2	233	 x	0	 r	 x	1.559	1	1.7	 full
6	 T	2	234	 x	1	 r	 left	1.729	0	1.7	 full
6	 T	2	235	 x	0	 r	 x	2.04	1	1.7	 full
6	 T	2	236	 x	1	 x	 right	1.56	1	6	 full
6	 T	2	237	 x	0	 r	 x	1.805	1	6	 full
6	 T	2	238	 x	1	 l	 right	1.509	1	6	 full
6	 T	2	239	 R	0	 r	 x	1.668	1	 x	 half
6	 T	2	240	 x	1	 l	 left	1.399	1	6	 full
6	 N	1	1	 R	1	 l	 right	1.67	1	 x	 half
6	 N	1	2	 x	1	 l	 right	1.668	1	1.7	 full
6	 N	1	3	 x	1	 l	 left	1.628	1	1.7	 full
6	 N	1	4	 x	0	 r	 x	1.788	1	1.7	 full
6	 N	1	5	 x	0	 r	 x	1.561	1	6	 full
6	 N	1	6	 x	0	 r	 x	1.548	1	6	 full
6	 N	1	7	 x	0	 r	 x	1.987	1	1.7	 full
6	 N	1	8	 x	1	 l	 left	1.849	1	1.7	 full
6	 N	1	9	 x	0	 r	 x	1.649	1	6	 full
6	 N	1	10	 R	1	 l	 left	2.199	1	 x	 half
6	 N	1	11	 x	0	 r	 x	1.739	1	1.7	 full
6	 N	1	12	 L	1	 l	 right	1.498	1	 x	 half
6	 N	1	13	 L	0	 r	 x	1.828	1	 x	 half
6	 N	1	14	 L	1	 l	 right	1.648	1	 x	 half
6	 N	1	15	 x	1	 l	 left	1.599	1	1.7	 full
6	 N	1	16	 x	0	 r	 x	1.579	1	6	 full
